Predictor variable,Categorical,Sample average
BIOCLIM_1,false,90.0909090909091
BIOCLIM_12,false,962.969696969697
BIOCLIM_17,false,49.484848484848484
BIOCLIM_7,false,318.1818181818182
GTOPO30_ELEVATION,false,1055.3333333333333
GTOPO30_SLOPE_reduced,false,4.757575757575758
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,20.0
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,58.303030303030305
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,46.27272727272727
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,51.60606060606061
LandCover_1_Needleleaf,false,91.27272727272727
LandCover_6_Herbaceous,false,0.36363636363636365
